Genes	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_2w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MOLM13_WT_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_6w_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_MV4_11_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_6w_2_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241122_OCI_WT_1_500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MOLM13_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_MV4_11_WT_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_2W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_4W_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_1__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_6W_3__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_2__500ng.raw	F:\WH_group\Group\WN\20241125-VR-Pro\20241123_VR_WN_pro\FAIMS_DIA_ionOptic_60min_241123_OCI_WT_3__500ng.raw
BLTP1	139376	158939	97394	172777	223097	210712	151354	101311	247335	142094		169551	223774				175651		239971	208384		201290	219454	170336	239830	223004	189386
BLTP2	3.18182e+06	2.50549e+06	2.49078e+06	4.1318e+06	5.32596e+06	4.86019e+06	2.75822e+06	2.3925e+06	3.06476e+06	2.71557e+06	2.3342e+06	2.47562e+06	5.37748e+06	4.26736e+06	4.50765e+06	4.30275e+06	5.04574e+06	4.19473e+06	4.71023e+06	4.75936e+06	4.8552e+06	4.73246e+06	4.20875e+06	4.33094e+06	4.73737e+06	5.12127e+06	4.43642e+06
BLTP3A	6.30513e+06	5.55158e+06	6.12622e+06	2.71564e+06	5.99337e+06	7.91166e+06	4.86679e+06	7.17049e+06	7.84176e+06	5.96372e+06	5.27352e+06	6.21703e+06	3.36866e+06	3.30531e+06	3.5512e+06	3.52572e+06	3.60018e+06	2.61319e+06	2.8517e+06	7.34852e+06	8.46559e+06	7.39814e+06	7.39249e+06	5.77382e+06	6.48692e+06	7.65248e+06	7.70639e+06
BLTP3B	5.34219e+06	4.75931e+06	4.79438e+06	4.28131e+06	3.88849e+06	4.46696e+06	5.02177e+06	5.14364e+06	5.42524e+06	4.38892e+06	4.76249e+06	4.99721e+06	4.63085e+06	4.34038e+06	4.01445e+06	4.31367e+06	3.97862e+06	3.96907e+06	4.03041e+06	3.74827e+06	3.55167e+06	3.63252e+06	3.60964e+06	4.14171e+06	3.94178e+06	4.06735e+06	4.04245e+06
BLVRA	3.73458e+06	5.09359e+06	6.18315e+06	1.91651e+06	2.80785e+07	6.98088e+07	3.99544e+06	4.827e+06	8.65456e+06	5.98266e+06	4.55938e+06	4.87831e+06						1.28323e+06		5.42508e+07	3.68442e+07	4.13662e+07	8.63716e+07	4.99096e+07	3.68958e+07	5.19887e+07	4.51884e+07
BLVRB	4.51932e+07	3.01106e+07	3.26252e+07	1.14441e+08	4.49466e+07	3.91896e+07	3.49887e+07	2.01001e+07	2.50478e+07	2.67043e+07	2.56005e+07	2.61072e+07	1.21091e+08	1.16253e+08	8.93517e+07	9.52715e+07	9.96582e+07	1.40187e+08	1.16097e+08	3.78826e+07	4.50618e+07	4.18055e+07	2.55412e+07	3.31929e+07	2.55556e+07	3.25661e+07	3.77222e+07
BMI1	3.05844e+07	2.54431e+07	2.88398e+07	5.90598e+06	1.74594e+07	2.05507e+07	3.78654e+07	2.46864e+07	2.4809e+07	2.6273e+07	2.79074e+07	3.4773e+07	9.22354e+06	7.80918e+06	6.64091e+06	7.24056e+06	9.98719e+06	1.05576e+07	1.02355e+07	2.67576e+07	2.50774e+07	1.14676e+07	2.70446e+07	2.42399e+07	2.39251e+07	2.42033e+07	2.2129e+07
BMP1	699772	822538	514519	1.16786e+06	1.35131e+06	1.41784e+06	422903	750039			689488	924970	1.091e+06	1.13814e+06	952447	1.02574e+06	1.05122e+06	1.29789e+06	1.2321e+06	1.40521e+06	1.63412e+06	1.33529e+06		1.11637e+06	1.37431e+06	1.29836e+06	1.41173e+06
BMP2K	3.99208e+06	3.9297e+06	4.19979e+06	5.23219e+06	3.3088e+06	4.48366e+06	3.92138e+06	4.63955e+06	3.95974e+06	4.94383e+06	3.98971e+06	3.89911e+06	4.88302e+06	4.98212e+06	4.50641e+06	3.29294e+06	4.7137e+06	4.23803e+06	3.79715e+06	2.85839e+06	3.25963e+06	2.05346e+06	4.91646e+06	4.54566e+06	2.863e+06	2.9815e+06	4.21285e+06
BMP7															1.61826e+06												
BMPR1A																							1.3912e+06				
BMS1	2.48391e+07	3.18723e+07	2.90761e+07	1.81931e+07	2.36825e+07	1.68794e+07	2.47375e+07	2.74821e+07	2.77575e+07	3.43359e+07	2.6525e+07	2.77481e+07	2.33824e+07	2.09922e+07	2.07673e+07	1.81967e+07	2.60154e+07	2.51374e+07	2.34036e+07	2.00882e+07	2.31572e+07	2.31661e+07	2.13175e+07	1.73591e+07	1.98002e+07	2.16409e+07	2.13146e+07
BNIP1	1.29106e+07	1.6231e+07	1.82783e+07	1.1509e+07	1.11029e+07	9.63437e+06	1.35154e+07	1.75136e+07	1.91546e+07	1.52202e+07	1.57691e+07	1.48065e+07	1.13273e+07	9.84882e+06	9.0082e+06	8.99444e+06	9.84133e+06	1.02212e+07	1.06598e+07	1.17036e+07	1.06519e+07	1.09913e+07	1.41331e+07	9.53923e+06	1.00902e+07	1.13213e+07	1.14152e+07
BNIP2	7.18351e+06	5.41783e+06	8.01405e+06	8.8992e+06	8.69872e+06	9.69357e+06	7.14335e+06	6.62357e+06	6.8588e+06	8.49012e+06	6.63411e+06	5.88611e+06	6.2119e+06	7.2528e+06	9.34758e+06	8.93605e+06	6.27582e+06	8.69672e+06	8.47763e+06	9.7552e+06	8.4374e+06	8.53947e+06	7.56524e+06	1.02984e+07	9.21119e+06	8.44126e+06	8.84733e+06
BNIP3	974735		791234	542321	1.49007e+06	2.29927e+06			1.01323e+06	598020	621214	851435	632436					471189		917113		1.09272e+06		1.91319e+06	1.77429e+06	1.14138e+06	1.3533e+06
BNIPL															590892												
BOD1L1	9.19072e+06	8.48802e+06	9.56715e+06	1.08401e+07	8.8005e+06	1.17595e+07	8.51855e+06	9.42688e+06	8.78498e+06	8.15858e+06	9.57199e+06	9.74001e+06	9.60544e+06	9.70058e+06	1.34057e+07	1.11103e+07	1.05276e+07	8.98549e+06	8.81153e+06	1.14292e+07	9.5062e+06	9.11407e+06	1.05017e+07	1.06364e+07	1.07343e+07	1.00399e+07	9.58433e+06
BOD1L2															645172												
BOK	8.40579e+06	8.68715e+06				1.14742e+07	1.17641e+07	9.68099e+06	8.31553e+06			8.49764e+06	1.33061e+07				1.34906e+07		1.00633e+07					1.32179e+07	1.32317e+07		
BOLA1	1.10144e+07	5.84213e+06	1.0398e+07	1.04453e+07	9.17837e+06	9.41461e+06	9.15214e+06	7.22816e+06	8.94816e+06	7.95584e+06	6.09235e+06	7.63289e+06	1.30829e+07	1.04569e+07	1.40207e+07	2.03572e+07	1.73423e+07	1.05136e+07	1.14196e+07	6.16766e+06	1.068e+07	1.03508e+07	8.5371e+06	9.68114e+06	1.04023e+07	9.85196e+06	1.06544e+07
BOLA2	1.03061e+08	1.2138e+08	1.25462e+08	1.93275e+08	1.16638e+08	1.03948e+08	1.05127e+08	1.21764e+08	1.05779e+08	9.36305e+07	1.17671e+08	1.07422e+08	1.74792e+08	2.00101e+08	1.86879e+08	1.75355e+08	1.87653e+08	1.86989e+08	1.83788e+08	1.00265e+08	8.94384e+07	9.80716e+07	9.53577e+07	1.15632e+08	1.12991e+08	1.05581e+08	1.06258e+08
BOLA3	4.12525e+06	5.09509e+06	4.59811e+06	3.08492e+06	2.4135e+06	2.83967e+06	3.27185e+06	4.50131e+06	4.06368e+06	3.51965e+06	5.03443e+06	4.51542e+06	2.98574e+06	3.16375e+06	2.15035e+06	2.57122e+06	2.92801e+06	2.87739e+06	3.16865e+06	2.72035e+06		2.28649e+06	2.41505e+06	2.18093e+06	2.27304e+06	2.97524e+06	2.42077e+06
BOP1	9.86393e+07	1.09259e+08	1.04102e+08	7.72016e+07	9.40788e+07	8.29405e+07	9.51916e+07	8.86216e+07	7.92944e+07	9.28411e+07	8.97083e+07	9.36847e+07	8.38039e+07	8.17486e+07	7.35126e+07	7.26098e+07	9.46841e+07	9.73684e+07	9.04803e+07	9.593e+07	9.57401e+07	8.45917e+07	1.00722e+08	7.31807e+07	9.57184e+07	9.63705e+07	8.99314e+07
BORA	2.32951e+06	3.08888e+06	2.79018e+06	1.7295e+06	1.31449e+06		2.50689e+06	2.29905e+06	2.1112e+06	2.36583e+06	3.12792e+06	2.98599e+06	1.52783e+06	1.4944e+06	2.26288e+06	1.82278e+06	1.91842e+06	1.54054e+06	1.85671e+06	1.716e+06	1.885e+06	1.11164e+06	2.02734e+06		1.70819e+06	1.85556e+06	1.67339e+06
BORCS5	1.63355e+07	1.22269e+07	1.14309e+07	1.59923e+07	1.29378e+07	1.30449e+07	1.70517e+07	1.18934e+07	1.58452e+07	1.28224e+07	1.21267e+07	1.29756e+07	2.12878e+07	1.74823e+07	1.82587e+07	1.85152e+07	1.87874e+07	1.55014e+07	1.73169e+07	1.31063e+07	9.902e+06	1.30027e+07	1.1078e+07	1.11596e+07	1.21614e+07	1.39688e+07	1.35284e+07
BORCS6	8.38258e+06	6.18886e+06	5.41999e+06	8.17236e+06	7.21794e+06	6.49118e+06	7.73394e+06	5.8532e+06	7.06499e+06	5.72858e+06	6.24439e+06	6.74836e+06	1.16676e+07	9.58547e+06	1.00605e+07	9.79801e+06	9.96738e+06	8.90709e+06	8.98148e+06	6.97614e+06	6.74741e+06	7.08025e+06	6.00036e+06	7.46886e+06	7.33717e+06	6.55301e+06	7.08732e+06
BORCS7	7.87916e+06	4.81097e+06	2.61716e+06	7.68817e+06	6.58025e+06	6.35629e+06	6.40031e+06	5.42136e+06	6.90096e+06	6.28448e+06	6.17592e+06	6.92155e+06	1.02705e+07	9.87018e+06	9.02488e+06	1.10151e+07	7.74362e+06	8.70202e+06	8.97032e+06	7.69895e+06	8.94959e+06	6.68437e+06	5.41656e+06	6.15133e+06	7.80374e+06	7.97579e+06	7.20359e+06
BORCS8	3.17018e+06	2.25074e+06	2.05979e+06	3.27593e+06	2.92097e+06	2.55868e+06	3.04188e+06	2.35067e+06	2.91348e+06	2.08369e+06	2.18693e+06	2.5797e+06	4.57731e+06	4.61371e+06	4.5218e+06	3.96261e+06	5.03984e+06	3.44582e+06	2.85147e+06	2.61816e+06	1.06658e+06	2.55273e+06	2.11086e+06	2.30901e+06	2.73249e+06	2.33624e+06	3.09128e+06
BPESC1																											74442.3
BPGM	2.95283e+06	2.67329e+06	2.71376e+06	1.1266e+06	2.85912e+06	3.4424e+06	2.10453e+06	2.5687e+06	2.59366e+06	2.57126e+06	1.91744e+06	1.77608e+06	1.7596e+06	771568	1.01056e+06	1.28575e+06	1.38515e+06	1.45132e+06	1.14051e+06	2.68814e+06	2.98128e+06	2.54774e+06	2.7329e+06	2.77309e+06	3.22867e+06	3.18029e+06	2.69943e+06
BPHL	319828				633454					282455			525188	513666			545630	772267	1.038e+06		310019	527764				725674	628273
BPI					2.81177e+07																	2.58484e+06	3.11158e+06	2.8229e+07	3.21006e+07	3.91615e+06	4.02543e+06
BPIFB1		484963																					658552	365579	303897		
BPIFB3				3.20107e+06															3.43702e+06								
BPIFC																						1.32886e+06					
BPNT1	4.26637e+07	3.18099e+07	3.6061e+07	2.33475e+07	9.10552e+07	8.811e+07	4.62842e+07	3.36418e+07	6.13455e+07	2.93597e+07	3.4544e+07	3.33165e+07	2.03172e+07	2.24225e+07	2.43058e+07	2.12234e+07	1.90312e+07	1.92737e+07	1.96922e+07	9.05398e+07	7.51994e+07	8.35348e+07	8.01918e+07	8.74692e+07	9.34027e+07	7.1048e+07	7.16203e+07
BPNT2	1.39801e+07	1.12015e+07	1.19711e+07	1.54938e+07	7.75593e+06	1.06614e+07	1.19994e+07	1.16192e+07	1.25687e+07	8.62032e+06	1.33336e+07	1.36218e+07	1.23719e+07	1.18956e+07	1.6015e+07	1.30509e+07	1.29657e+07	1.27555e+07	1.43682e+07	1.11889e+07	8.63097e+06	8.99214e+06	9.7137e+06	1.02761e+07	8.21806e+06	1.05134e+07	9.75116e+06
BPTF	7.62935e+06	7.24253e+06	8.42568e+06	7.15034e+06	1.42793e+07	9.82922e+06	7.47436e+06	7.29391e+06	8.4387e+06	9.83693e+06	8.10305e+06	7.76063e+06	9.40306e+06	9.23204e+06	8.39307e+06	9.66146e+06	1.0622e+07	1.01388e+07	9.16302e+06	1.36449e+07	1.41254e+07	1.4121e+07	1.5344e+07	1.32907e+07	1.24809e+07	1.13987e+07	1.1299e+07
BRAF					565873				466434	572445									315224	481513		613511		573403	446781	515884	530153
BRAP	1.08207e+07	9.88735e+06	9.52147e+06	9.21026e+06	9.8057e+06	8.53542e+06	9.91798e+06	9.62669e+06	1.11184e+07	1.12833e+07	1.03655e+07	1.01246e+07	1.03876e+07	9.31827e+06	8.19152e+06	8.75883e+06	9.41052e+06	9.00308e+06	9.91414e+06	7.54368e+06	8.79244e+06	9.13788e+06	8.81505e+06	7.31345e+06	8.14401e+06	9.74214e+06	9.08134e+06
BRAT1	1.68271e+07	1.82011e+07	1.57836e+07	2.07801e+07	1.48976e+07	1.53729e+07	1.7157e+07	1.61774e+07	1.73712e+07	1.79373e+07	1.652e+07	1.68732e+07	1.89719e+07	1.83226e+07	1.79218e+07	1.60882e+07	1.85345e+07	2.08117e+07	2.2038e+07	1.66044e+07	1.63028e+07	1.61052e+07	1.63071e+07	1.3411e+07	1.58083e+07	1.60933e+07	1.5793e+07
BRCA1	4.61261e+06	4.9385e+06	5.26754e+06	4.33296e+06	3.31198e+06	5.08399e+06	4.17825e+06	5.84427e+06	4.1706e+06	4.88252e+06	4.86832e+06	4.87725e+06	3.95249e+06	4.07595e+06	4.31745e+06	3.8818e+06	4.64302e+06	4.17202e+06	4.3077e+06	4.26608e+06	4.24629e+06	3.9861e+06	3.81112e+06	3.99166e+06	2.98118e+06	4.89729e+06	5.31073e+06
BRCA2	1.77363e+06	2.69712e+06	2.56904e+06	935281	1.38762e+06	1.64688e+06	1.77482e+06	3.03544e+06	2.0114e+06	2.75305e+06	2.86591e+06	2.46654e+06	1.22472e+06	1.51243e+06	1.33719e+06	1.01015e+06	1.57338e+06	976305	1.06949e+06	1.61149e+06	1.97823e+06	1.35983e+06	1.7159e+06	1.44036e+06	1.29393e+06	1.75391e+06	1.73389e+06
BRCC3	5.93487e+07	6.85127e+07	6.57999e+07	7.65427e+07	5.01807e+07	5.54782e+07	5.92485e+07	6.93704e+07	5.15941e+07	5.44853e+07	6.34354e+07	6.34678e+07	7.45415e+07	6.87966e+07	7.21068e+07	7.171e+07	5.63575e+07	6.8e+07	6.55722e+07	4.90916e+07	4.02141e+07	3.95434e+07	3.20699e+07	4.26089e+07	4.97832e+07	4.43479e+07	3.88637e+07
BRD1	9.03222e+06	6.85328e+06	7.45144e+06	9.49861e+06	1.02678e+07	7.91075e+06	9.14579e+06	7.59244e+06	7.30896e+06	1.07485e+07	7.3488e+06	6.55192e+06	1.09701e+07	1.0646e+07	9.43796e+06	9.56575e+06	1.25261e+07	1.32814e+07	1.22075e+07	1.00563e+07	1.38384e+07	1.12761e+07	9.72123e+06	9.01328e+06	7.7049e+06	1.008e+07	1.05099e+07
BRD2	1.68226e+07	1.59395e+07	1.85858e+07	9.33598e+06	1.65655e+07	1.57804e+07	1.76559e+07	1.58476e+07	1.66379e+07	2.41037e+07	1.91074e+07	1.69194e+07	1.19977e+07	1.28839e+07	1.06475e+07	1.00224e+07	1.47763e+07	1.20594e+07	1.10608e+07	1.73318e+07	2.0387e+07	1.79358e+07	1.87198e+07	1.62251e+07	1.5945e+07	1.80944e+07	1.96282e+07
BRD3	2.19978e+07	1.7203e+07	1.7731e+07	2.06805e+07	2.48841e+07	2.58311e+07	2.26473e+07	1.80304e+07	2.47487e+07	2.39959e+07	1.78419e+07	1.82047e+07	2.85292e+07	2.79732e+07	2.68692e+07	2.43007e+07	3.29387e+07	2.67647e+07	2.63805e+07	2.54013e+07	2.54859e+07	2.84752e+07	2.44183e+07	2.33708e+07	2.16633e+07	3.20116e+07	3.14112e+07
BRD4	5.65544e+07	4.94226e+07	5.14195e+07	5.57265e+07	4.98042e+07	4.94367e+07	4.96967e+07	4.73528e+07	3.90073e+07	4.40339e+07	4.5907e+07	4.78476e+07	6.38561e+07	6.06177e+07	6.12269e+07	6.06069e+07	6.88209e+07	6.39682e+07	6.01299e+07	5.13165e+07	5.29878e+07	4.99592e+07	4.75667e+07	5.07517e+07	4.65124e+07	5.44136e+07	5.31686e+07
BRD7	1.09173e+07	1.09093e+07	1.12198e+07	1.00949e+07	8.24668e+06	8.483e+06	1.05497e+07	1.05462e+07	1.07786e+07	1.15169e+07	1.14193e+07	1.10842e+07	1.16298e+07	1.08664e+07	1.20448e+07	1.11384e+07	1.16379e+07	9.72559e+06	1.04734e+07	8.77079e+06	9.90343e+06	8.93311e+06	1.07478e+07	1.04648e+07	1.0498e+07	1.0319e+07	9.69727e+06
BRD8	1.15363e+08	1.16586e+08	1.17987e+08	1.02185e+08	1.03999e+08	1.0135e+08	1.06505e+08	1.1657e+08	1.32291e+08	1.12042e+08	1.24741e+08	1.21641e+08	1.0812e+08	1.01709e+08	1.08946e+08	1.01292e+08	1.10709e+08	1.02913e+08	1.1231e+08	1.0147e+08	9.45921e+07	9.44437e+07	9.74485e+07	9.13738e+07	9.71498e+07	1.00258e+08	1.05314e+08
BRD9	4.32407e+06	3.44834e+06	3.65248e+06	2.7919e+06	3.55521e+06	2.58958e+06	4.03027e+06	4.03092e+06	3.83161e+06	4.30516e+06	3.72509e+06	3.69816e+06	3.38519e+06	3.18864e+06	3.26139e+06	3.01101e+06	3.44327e+06	3.24747e+06	2.97295e+06	3.63075e+06	3.99603e+06	3.53738e+06	3.04331e+06	3.14602e+06	2.65726e+06	3.32666e+06	3.62761e+06
BRF1	2.11245e+06	2.18411e+06	1.87992e+06	2.79811e+06	2.16167e+06	2.68957e+06	2.24266e+06	2.28294e+06	1.66954e+06	2.47258e+06	2.43484e+06	2.36426e+06	3.32913e+06	3.13622e+06	3.52881e+06	3.23522e+06	3.91807e+06	3.4674e+06	3.75788e+06	3.11774e+06	3.06744e+06	2.85391e+06	2.53097e+06	2.69895e+06	2.16072e+06	2.95086e+06	2.83786e+06
BRF2	890285	1.00693e+06	900216	911366	842308	891415	625682	700709	939760	870564	919335	924492	561229	715823	672369	678424	596184	1.28281e+06	1.05525e+06	844451	752389	1.06448e+06	720647	883754	1.1536e+06	944876	1.23501e+06
BRI3															757223				1.2423e+06								
BRI3BP	3.44747e+07	2.87051e+07	3.23736e+07	6.81044e+07	5.97644e+07	9.52029e+07	3.84491e+07	3.09934e+07	4.15309e+07	2.69137e+07	3.14173e+07	3.48675e+07	6.36533e+07	5.85238e+07	7.24218e+07	7.76699e+07	5.66639e+07	6.56446e+07	5.44563e+07	8.69195e+07	5.47939e+07	8.56915e+07	6.97977e+07	8.47572e+07	7.96645e+07	9.02082e+07	9.26901e+07
BRICD5												149015															
BRIP1	1.09628e+06	1.52027e+06	1.06389e+06	954142	1.16135e+06	1.39064e+06	1.01093e+06	1.28009e+06	950323	1.10669e+06	1.44486e+06	1.54227e+06	718198	896244	816497	824326	700961	884142	822861	1.66949e+06	1.86512e+06	1.52509e+06	1.52305e+06	1.50302e+06	1.34675e+06	1.40539e+06	1.23475e+06
BRIX1	9.33216e+07	1.32359e+08	1.32201e+08	5.03874e+07	9.84467e+07	7.76661e+07	1.00777e+08	1.17914e+08	1.20692e+08	1.27929e+08	1.05977e+08	1.08287e+08	6.55846e+07	6.89553e+07	5.60352e+07	4.60206e+07	6.87546e+07	7.86062e+07	6.90625e+07	8.9269e+07	1.05916e+08	9.48615e+07	9.34097e+07	8.85444e+07	9.09534e+07	9.64848e+07	8.74705e+07
BRK1	4.06605e+07	3.45276e+07	3.12684e+07	3.66269e+07	4.31567e+07	3.98723e+07	3.33346e+07	3.30653e+07	3.69161e+07	4.06854e+07	3.18629e+07	3.1188e+07	3.69518e+07	3.4216e+07	3.31705e+07	2.79573e+07	3.26236e+07	3.17265e+07	3.53818e+07	3.77663e+07	4.65289e+07	4.29915e+07	3.96569e+07	3.43272e+07	4.20254e+07	4.51994e+07	4.25959e+07
BRME1	332114	226361	253870				252421	310209	290582	351469	263112	310551	101875				154638								113356		
BRMS1	3.83764e+06	3.7183e+06	3.55735e+06	3.41425e+06	4.41254e+06	4.02431e+06	3.78522e+06	3.13144e+06	4.15137e+06	4.33682e+06	3.29951e+06	3.92832e+06	3.34056e+06	3.68197e+06	3.19432e+06	3.27086e+06	4.10215e+06	3.17355e+06	3.83256e+06	4.32787e+06	3.52003e+06	4.84666e+06	4.16524e+06	4.53388e+06	4.15698e+06	3.96443e+06	4.70038e+06
BRMS1L	1.04633e+06	691329	540174	529578	730649		735319			1.08827e+06		885654	960736	640246	666720	469801	1.00538e+06	912275		630288	983736	934301		655352		992021	981708
BROX	5.28001e+07	3.25604e+07	2.62443e+07	3.8794e+07	6.78277e+07	8.81281e+07	6.24812e+07	3.53165e+07	5.67644e+07	3.20189e+07	4.01148e+07	3.5199e+07	4.53939e+07	4.79502e+07	4.66589e+07	4.56497e+07	4.65954e+07	3.89178e+07	4.36241e+07	8.16122e+07	7.4956e+07	6.44811e+07	7.08701e+07	6.37394e+07	8.55322e+07	8.92917e+07	8.66302e+07
BRPF1	4.43332e+06	4.5028e+06	4.12601e+06		4.72917e+06	4.11402e+06	4.70902e+06	3.68751e+06	4.97959e+06	5.29965e+06	3.6284e+06	4.73086e+06	2.84172e+06	3.07535e+06			2.69006e+06	3.09758e+06	3.20583e+06	4.27112e+06	5.34948e+06	5.24609e+06	4.2025e+06	4.71472e+06	3.31394e+06	4.52852e+06	4.99013e+06
BRPF3	829571		958408		1.17769e+06	839272		1.06231e+06	1.6548e+06	1.35757e+06	766906							727397		1.29923e+06	1.04926e+06	1.17131e+06	1.03513e+06		1.09512e+06	1.32792e+06	1.2338e+06
BRS3																			216767								
BRWD1	739914	873419	673275	508617	672284	933448	529462	553258		720432	927919	659495		656467	544966		701594	813984	703219	1.0085e+06		647772	922161	950221	564462	804038	769673
BSCL2			1.46401e+06	1.8403e+07	5.93773e+06				1.71112e+06				1.76566e+07	1.63331e+07	1.62931e+07	2.031e+07	1.39432e+07	1.55417e+07	1.80592e+07	3.55324e+06	1.99918e+06	3.55126e+06	4.43327e+06	4.33472e+06		2.30218e+06	3.40469e+06
BSDC1	3.47397e+06	2.57469e+06	3.06651e+06	3.57783e+06	4.71034e+06	4.44842e+06	1.83504e+06	3.28355e+06	4.11397e+06	2.96964e+06	2.42417e+06	3.03461e+06	4.64734e+06	3.79996e+06	4.02392e+06	4.28518e+06	4.23045e+06	4.02523e+06	4.82258e+06	4.30515e+06	4.19792e+06	3.49628e+06	5.01593e+06	4.842e+06	5.33216e+06	4.35936e+06	4.07801e+06
BSG	2.28583e+08	1.81819e+08	1.9253e+08	1.86664e+08	1.11523e+08	1.11006e+08	2.29717e+08	2.2062e+08	1.64271e+08	1.373e+08	2.12635e+08	2.03626e+08	1.56271e+08	1.76947e+08	2.09134e+08	1.85248e+08	1.70196e+08	1.4633e+08	1.80063e+08	1.38005e+08	9.23793e+07	1.0218e+08	1.30063e+08	1.44666e+08	1.20334e+08	9.73489e+07	1.04582e+08
BST1	9.04564e+06	3.79974e+06		1.1808e+07	4.35868e+07	5.3591e+07	8.38172e+06		3.41598e+06		3.83533e+06	4.3909e+06	1.17828e+07	8.99347e+06	1.14572e+07	1.26276e+07	1.31285e+07	1.05665e+07	1.02298e+07	4.17074e+07	3.94258e+07	4.54465e+07	3.73602e+07	4.36618e+07	4.37197e+07	5.02253e+07	4.86992e+07
BST2	3.70279e+07	2.3161e+07	1.60583e+07	1.05081e+08	1.21565e+07	9.55595e+06	3.23721e+07	3.15528e+07	2.58693e+07	2.87591e+07	3.26058e+07	2.76616e+07	1.24967e+08	1.22406e+08	1.62839e+08	1.12973e+08	1.13826e+08	8.48939e+07	9.48255e+07	1.69223e+07	1.37583e+07	1.41803e+07	3.62461e+07	2.15983e+07	1.56052e+07	8.6253e+06	1.06853e+07
